ProductID,ProductName,ProductSubCategory,ProductCategory
181,ML Mountain Rim,,
186,Touring Rim,,
214,"Sport-100 Helmet, Red",Helmets,Accessories
222,"Sport-100 Helmet, Blue",Helmets,Accessories
225,AWC Logo Cap,Caps,Clothing
231,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing
234,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
353,"Mountain-200 Silver, 38",Mountain Bikes,Bikes
361,"Mountain-200 Black, 42",Mountain Bikes,Bikes
463,"Half-Finger Gloves, S",Gloves,Clothing
465,"Half-Finger Gloves, M",Gloves,Clothing
472,"Classic Vest, M",Vests,Clothing
473,"Classic Vest, L",Vests,Clothing
475,"Women's Mountain Shorts, M",Shorts,Clothing
476,"Women's Mountain Shorts, L",Shorts,Clothing
477,Water Bottle - 30 oz.,Bottles and Cages,Accessories
478,Mountain Bottle Cage,Bottles and Cages,Accessories
480,Patch Kit/8 Patches,Tires and Tubes,Accessories
481,"Racing Socks, M",Socks,Clothing
482,"Racing Socks, L",Socks,Clothing
484,Bike Wash - Dissolver,Cleaners,Accessories
485,Fender Set - Mountain,Fenders,Accessories
486,All-Purpose Bike Stand,NULL,NULL
487,Hydration Pack - 70 oz.,Hydration Packs,Accessories
528,Mountain Tire Tube,Tires and Tubes,Accessories
561,"Touring-1000 Yellow, 46",Touring Bikes,Bikes
573,"Touring-1000 Blue, 46",Touring Bikes,Bikes
605,"Road-750 Black, 48",Road Bikes,Bikes
606,"Road-750 Black, 52",Road Bikes,Bikes
